sample	segments	clonality	ploidy	homozygousLoss	segvariance	grid_ploidy	grid_purity	use
IM_101	221	0.0773089704385814	1.795	0.156731222045996	0.040331476467128	1.8	0.91	TRUE
IM_101	221	0.0980198680059795	3.689	0.156731222045996	0.170665761162135	3.7	0.83	FALSE
IM_101	221	0.125623146699074	5.483	0.0195913755454553	0.384273198573764	5.5	0.75	FALSE
IM_105	187	0.159339305147242	1.702	1.35411340998684	0.169099656867156	1.7	0.48	FALSE
IM_106	221	0.212836691882545	1.553	2.52377616036796	0.373647206444608	1.6	0.65	FALSE
IM_106	221	0.221158156299205	5.172	0.00545324041138285	2.77866171035821	5.2	0.5	FALSE
IM_106	221	0.224075418600495	4.176	0.00545324041138285	2.60036114985943	4.2	0.42	FALSE
IM_107	219	0.214300296114084	1.564	2.7084740204228	0.297920873520918	1.6	0.72	FALSE
IM_107	219	0.22333881253745	2.835	0.0130738176712375	0.996305624811447	2.8	0.58	FALSE
IM_108	174	0.166683487699994	2.576	0.174405795489648	0.457368763340439	2.6	0.67	TRUE
IM_11	164	0.157748445332251	2.972	0.00759673310103904	0.465089023929383	3	0.44	TRUE
IM_112	119	0.119179693950123	2.771	0.0174639357609062	0.303587069763792	2.8	0.76	TRUE
IM_113	225	0.171615369063494	2.882	0.256185663557766	0.693088907190343	2.9	0.56	TRUE
IM_115	268	0.137435656999361	2.874	0	0.373275438204722	2.9	1	TRUE
IM_115	268	0.162179070859511	4.856	0	1.06567696448221	4.9	1	FALSE
IM_116	240	0.191047117580162	4.385	0	0.455905043538799	4.4	0.55	FALSE
IM_116	240	0.213546412813961	3.386	0	0.364847292654177	3.4	0.5	TRUE
IM_117	353	0.149955295967406	3.199	0.0372238996631729	0.400315992341351	3.2	0.6	TRUE
IM_118	309	0.15707300906277	3.098	0	0.326595808907734	3.1	0.78	FALSE
IM_118	309	0.19590699415221	1.998	1.64075018034758	0.210434784568022	2	0.68	TRUE
IM_119	250	0.192264446335632	4.082	0.00329663074184448	0.570111933638072	4.1	0.56	TRUE
IM_119	250	0.192346853313611	3.082	0.265930984818023	0.564901890739547	3.1	0.44	FALSE
IM_122	239	0.170228766846751	4.466	0	0.511638890246119	4.5	0.44	FALSE
IM_124	157	0.104702587297953	1.872	0.00984934101819097	0.192629770779762	1.9	0.9	TRUE
IM_124	157	0.166772592037054	3.744	0.00984934101819097	0.768552470640733	3.7	0.82	FALSE
IM_125	153	0.18272937069367	1.874	0.00540677250574426	0.214538521438242	1.9	0.68	FALSE
IM_126	184	0.229228929699338	2.668	0.00540163238188365	0.37702403016383	2.7	0.72	FALSE
IM_135	175	0.171484424769127	1.972	0.342973034582348	0.278672209147455	2	0.45	FALSE
IM_138	170	0.198630370914709	3.189	0.00539813328355597	0.368714666765616	3.2	0.44	FALSE
IM_138	170	0.198634751493455	4.189	0	0.364021481612477	4.2	0.57	FALSE
IM_138	170	0.202084202322594	5.088	0	0.426173079812724	5.1	0.65	FALSE
IM_143	149	0.150488398807546	4.349	0	0.689084194151264	4.3	0.83	TRUE
IM_143	149	0.16395282508245	5.343	0	0.86863020601508	5.3	1	FALSE
IM_145	218	0.181376345771648	4.626	0	1.64559788838924	4.6	0.57	FALSE
IM_145	218	0.200656670844465	3.535	0.0908499963246446	1.26617028831289	3.5	0.52	FALSE
IM_146	175	0.17598823846785	3.364	0.0593470768404778	0.573145982000006	3.4	0.78	TRUE
IM_146	175	0.201459043375279	4.555	0.0107903252902821	0.926122441429039	4.6	0.82	FALSE
IM_147	164	0.0687885091267085	1.993	0.00539929912512241	0.0379034164182664	2	1	FALSE
IM_147	164	0.0973372229393958	2.989	0.00539929912512241	0.0852826869410993	3	1	FALSE
IM_147	164	0.120699705498213	3.986	0.00539929912512241	0.151613665673065	4	1	FALSE
IM_147	164	0.140858831293438	4.982	0.00539929912512241	0.236896352614165	5	1	FALSE
IM_148	128	0.150776755139794	1.779	0.175153970670598	0.130393642397517	1.8	0.51	FALSE
IM_149	91	0.0410661859476607	1.895	0.0172762714594727	0.0721885136106415	1.9	0.78	TRUE
IM_149	91	0.0782591436832428	3.79	0	0.282775871465739	3.8	0.65	FALSE
IM_149	91	0.0931934699943519	5.685	0	0.628622646931575	5.7	0.56	FALSE
IM_152	155	0.122470614206419	4.171	0.0262145389371627	0.429204608626676	4.2	0.47	TRUE
IM_152	155	0.134732276123738	3.074	0.0262145389371627	0.353921100708413	3.1	0.42	FALSE
IM_153	234	0.136783412164902	2.774	0.0248500192011613	0.298486978632318	2.8	0.82	FALSE
IM_153	234	0.136989915029946	1.774	5.37302071103194	0.300194522158024	1.8	0.58	TRUE
IM_153	234	0.174759581873748	5.742	0.0248500192011613	1.47073442666069	5.7	0.59	FALSE
IM_153	234	0.174790907839214	6.742	0	1.46710449239629	6.7	0.84	FALSE
IM_154	341	0.10135886471454	2.869	0	0.299180354257954	2.9	1	TRUE
IM_154	341	0.129232901372863	4.844	0	1.01405354117629	4.8	0.82	FALSE
IM_155	447	0.179329202618141	3.376	0	0.2179568472329	3.4	0.67	TRUE
IM_158	227	0.130462576439206	3.647	0.0152031084895661	0.533374383511319	3.6	0.65	TRUE
IM_158	227	0.153050611407831	4.74	0.00977343722844959	0.680934416946391	4.7	0.77	FALSE
IM_159	72	0.0829443806341481	1.86	0	0.390275993380832	1.9	0.75	TRUE
IM_159	72	0.135973683317428	3.72	0	1.56110397352333	3.7	0.6	FALSE
IM_160	115	0.0893758451218843	1.884	0.0660057809580826	0.190564964648321	1.9	0.83	FALSE
IM_160	115	0.131179422762935	3.867	0.00649234647197449	0.837253256303759	3.9	0.68	FALSE
IM_165	128	0.0526878554903417	2.775	0	0.219628967460357	2.8	0.57	TRUE
IM_165	128	0.05286338794349	3.775	0	0.218735622982458	3.8	0.8	FALSE
IM_165	128	0.0543979505867088	1.775	0.585022262117037	0.213120051867157	1.8	0.45	FALSE
IM_165	128	0.0778296218540365	7.55	0	0.881119264087609	7.6	0.66	FALSE
IM_165	128	0.093163150810339	4.772	0	0.2725618579511	4.8	1	FALSE
IM_165	128	0.102290252141326	6.553	0	0.789911767749723	6.6	0.56	FALSE
IM_169	448	0.166953749451559	3.187	0.257644998903816	0.217505184292579	3.2	0.87	TRUE
IM_169	448	0.205601239968296	6.375	0.164153548342262	0.831011678510258	6.4	0.82	FALSE
IM_170	225	0.168150660700396	3.27	0.161133245468794	0.547032740100074	3.3	0.73	TRUE
IM_171	252	0.177252844440873	3.175	0.164233879832553	0.422444036019299	3.2	0.84	TRUE
IM_172	348	0.169477761511737	1.987	0.115961447443278	0.104542910721916	2	1	FALSE
IM_172	348	0.203829506464334	5.265	0.00541872647741345	0.819279994647232	5.3	0.87	FALSE
IM_172	348	0.208487348916873	2.981	0.00541872647741345	0.235221549124312	3	1	FALSE
IM_174	329	0.175258323731103	2.899	0.0356366964087764	0.299783330428164	2.9	0.71	FALSE
IM_174	329	0.214750299835534	1.999	5.75911710627658	0.205437005052232	2	0.65	FALSE
IM_175	221	0.189209114630205	4.442	0	0.928402681658283	4.4	0.95	FALSE
IM_175	221	0.197161379084424	2.074	0	0.193048340013297	2.1	1	FALSE
IM_175	221	0.215028881388701	3.548	0	0.747263207429146	3.5	0.79	FALSE
IM_175	221	0.221261628651337	2.864	0	0.368148875172749	2.9	1	FALSE
IM_176	263	0.181740180648881	5.415	0	1.79168297460254	5.4	0.81	FALSE
IM_176	263	0.190138356154034	6.506	0	2.19041355747638	6.5	1	FALSE
IM_176	263	0.190340927492927	4.422	0	1.51287598550727	4.4	0.67	FALSE
IM_176	263	0.203098854489246	1.972	0	0.201139904267803	2	1	FALSE
IM_177	225	0.1657132351532	2.071	0	0.201982592709805	2.1	1	FALSE
IM_177	225	0.201810471751515	6.506	0	2.05924019726672	6.5	0.95	FALSE
IM_177	225	0.211865475169526	2.958	0	0.412209372877153	3	1	FALSE
IM_177	225	0.212805938704408	5.415	0	1.7028057029601	5.4	0.77	FALSE
IM_178	233	0.16139616018041	7.517	0	2.41117555260221	7.5	0.77	FALSE
IM_178	233	0.164084814102849	2.079	0	0.158239495998376	2.1	1	FALSE
IM_178	233	0.170770504993932	6.522	0	2.14127909827394	6.5	0.64	FALSE
IM_178	233	0.181673385701469	5.429	0	1.76262594115578	5.4	0.57	FALSE
