sample	segments	clonality	ploidy	purity	homozygousLoss	use	notes
22RV1	68	0.102	4.161	0.96	0.003	TRUE	NA
23132-87	80	0.08	4.016	0.95	0.013	TRUE	NA
42-MG-BA	134	0.187	4.112	0.95	0.175	TRUE	NA
5637	109	0.157	3.161	1	0.013	TRUE	NA
639-V	87	0.159	4.71	0.95	0.012	TRUE	NA
647-V	130	0.091	5.063	0.99	0.001	TRUE	NA
697	48	0.033	1.959	1	0.081	TRUE	NA
769-P	53	0.02	1.981	1	0.024	TRUE	NA
786-0	65	0.119	1.965	1	0.018	TRUE	NA
8-MG-BA	123	0.101	2.219	0.95	0.061	TRUE	NA
8305C	84	0.143	3.121	0.95	0.003	TRUE	NA
8505C	59	0.232	3.044	0.95	0.011	FALSE	High prop. non-integer
A101D	80	0.117	2.627	0.99	0.043	TRUE	NA
A172	169	0.054	3.436	0.95	0.043	TRUE	NA
A204	39	0.022	1.996	1	0	TRUE	NA
A2058	83	0.077	2.089	0.97	0.001	TRUE	NA
A253	176	0.135	3.075	0.95	0.156	TRUE	NA
A2780	50	0.048	2.057	1	0.004	TRUE	NA
A3-KAW	117	0.043	2.033	0.95	0.136	TRUE	NA
A375	157	0.086	2.75	1	0.067	TRUE	NA
A388	79	0.066	2.085	1	0.023	TRUE	NA
A4-Fuk	71	0.09	4.198	0.95	0.013	TRUE	NA
A427	166	0.099	3.172	0.95	0.009	TRUE	NA
A431	123	0.219	5.667	0.97	0.018	FALSE	High prop. non-integer; no fit agreement
A498	102	0.125	3.329	0.95	0.01	TRUE	NA
A549	91	0.068	2.74	0.95	0.017	TRUE	NA
A673	76	0.06	1.966	0.99	0.022	TRUE	NA
A704	79	0.101	3.876	0.95	0.009	TRUE	NA
ABC-1	183	0.101	2.438	0.95	0.088	TRUE	NA
ACHN	70	0.12	4.65	0.95	0.084	FALSE	Non-interleaving copy states
ACN	166	0.176	3.981	0.95	0.039	TRUE	NA
AGS	59	0.068	2.069	0.95	0.029	TRUE	NA
ALL-PO	57	0.098	2.532	0.95	0.006	TRUE	NA
AM-38	149	0.105	3.24	0.95	0.429	TRUE	NA
AMO-1	144	0.104	3.704	0.96	0.024	TRUE	NA
AN3-CA	42	0.062	2.135	0.95	0.023	TRUE	NA
ARH-77	72	0.081	4.05	1	0.02	FALSE	Potentially non-interleaving copy states
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002	58	0.033	2.017	1	0.002	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A02_256004	181	0.1	2.991	0.95	0.007	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A03_256006	138	0.132	4.106	0.95	0.016	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A04_256008	98	0.117	2.732	0.95	0.006	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A05_256010	98	0.144	5.555	1	0.031	FALSE	Non-interleaving copy states
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A06_256012	107	0.082	3.829	0.95	0.115	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A07_256014	103	0.049	2.003	1	NA	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A08_256016	60	0.073	2.457	0.95	0.02	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A09_256018	48	0.052	1.931	0.95	0.01	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A10_256020	245	0.119	3.166	0.95	0.623	FALSE	Oversegmentation
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A11_256022	176	0.132	3.516	0.95	NA	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B01_256026	143	0.099	3.125	1	NA	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B02_256028	69	0.041	1.978	1	0.029	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030	139	0.046	2.09	0.95	0.028	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032	141	0.133	2.702	0.95	0.011	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036	74	0.043	2.786	0.95	0.017	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B09_256042	127	0.086	1.895	1	0.009	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B10_256044	47	0.039	1.885	0.95	0.022	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B11_256046	67	0.076	2.35	0.95	0.01	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B12_256048	89	0.062	2.394	0.95	0.007	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C01_256050	131	0.114	4.78	0.95	0.214	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C02_256052	216	0.117	3.08	0.95	0.085	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C03_256054	124	0.102	3.188	0.95	0.01	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C04_256056	59	0.058	3.274	0.95	0.002	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C05_256058	57	0.158	2.028	1	0.03	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C06_256060	66	0.047	2.173	0.95	0.022	TRUE	NA
ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C07_256062	200	0.084	2.508	0.95	0.317	TRUE	NA
